YCR067C,SED4,TFIID-dominated
YCR068W,ATG15,TFIID-dominated
YCR069W,CPR4,no_call
YCR071C,IMG2,TFIID-dominated
YCR072C,RSA4,TFIID-dominated
YCR073C,SSK22,TFIID-dominated
YCR075C,ERS1,TFIID-dominated
YCR076C,YCR076C,TFIID-dominated
YCR077C,PAT1,TFIID-dominated
YCR079W,PTC6,TFIID-dominated
YCR081W,SRB8,TFIID-dominated
YCR082W,AHC2,TFIID-dominated
YCR083W,TRX3,TFIID-dominated
YCR084C,TUP1,TFIID-dominated
YCR085W,YCR085W,TFIID-dominated
YCR086W,CSM1,TFIID-dominated
YCR087W,YCR087W,TFIID-dominated
YCR088W,ABP1,TFIID-dominated
YCR089W,FIG2,SAGA-dominated
YCR090C,YCR090C,TFIID-dominated
YCR091W,KIN82,SAGA-dominated
YCR092C,MSH3,TFIID-dominated
YCR093W,CDC39,TFIID-dominated
YCR094W,CDC50,TFIID-dominated
YCR095C,OCA4,TFIID-dominated
YCR096C,HMRA2,SAGA-dominated
YCR097W-A,YCR097W-A,TFIID-dominated
YCR098C,GIT1,no_call
YCR099C,YCR099C,SAGA-dominated
YCR100C,YCR100C,SAGA-dominated
YCR101C,YCR101C,SAGA-dominated
YCR102C,YCR102C,TFIID-dominated
YCR104W,PAU3,TFIID-dominated
YCR105W,ADH7,SAGA/TFIID
YCR106W,RDS1,TFIID-dominated
YCR107W,AAD3,TFIID-dominated
YDL001W,RMD1,TFIID-dominated
YDL002C,NHP10,TFIID-dominated
YDL003W,MCD1,SAGA-dominated
YDL004W,ATP16,TFIID-dominated
YDL005C,MED2,TFIID-dominated
YDL006W,PTC1,TFIID-dominated
YDL007W,RPT2,TFIID-dominated
YDL008W,APC11,TFIID-dominated
YDL009C,YDL009C,TFIID-dominated
YDL010W,GRX6,TFIID-dominated
YDL011C,YDL011C,TFIID-dominated
YDL012C,YDL012C,TFIID-dominated
YDL013W,SLX5,TFIID-dominated
YDL014W,NOP1,TFIID-dominated
YDL015C,TSC13,TFIID-dominated
YDL016C,YDL016C,TFIID-dominated
YDL017W,CDC7,TFIID-dominated
YDL018C,ERP3,TFIID-dominated
YDL019C,OSH2,TFIID-dominated
YDL020C,RPN4,TFIID-dominated
YDL021W,GPM2,TFIID-dominated
YDL022W,GPD1,SAGA-dominated
YDL023C,YDL023C,SAGA-dominated
YDL024C,DIA3,no_call
YDL025C,RTK1,TFIID-dominated
YDL026W,YDL026W,TFIID-dominated
YDL027C,YDL027C,TFIID-dominated
YDL028C,MPS1,TFIID-dominated
YDL029W,ARP2,TFIID-dominated
YDL030W,PRP9,TFIID-dominated
YDL031W,DBP10,TFIID-dominated
